city,lat,lng,country,iso2,admin_name,population,population_proper
Künzelsau,49.2833,9.6833,Germany,DE,Baden-Württemberg,15391,15391
Mindelheim,48.0333,10.4667,Germany,DE,Bavaria,15002,15002
Brake,53.3333,8.4833,Germany,DE,Lower Saxony,14965,14965
Bitburg,49.9747,6.5256,Germany,DE,Rhineland-Palatinate,14904,14904
Ratzeburg,53.7017,10.7567,Germany,DE,Schleswig-Holstein,14652,14652
Jever,53.5744,7.9008,Germany,DE,Lower Saxony,14301,14301
Lübben,51.95,13.9,Germany,DE,Brandenburg,14024,14024
Montabaur,50.4375,7.8258,Germany,DE,Rhineland-Palatinate,13691,13691
Erbach,49.6569,8.9931,Germany,DE,Hesse,13666,13666
Lauterbach,50.6378,9.3944,Germany,DE,Hesse,13664,13664
Haßfurt,50.0353,10.5123,Germany,DE,Bavaria,13609,13609
Eichstätt,48.8919,11.1839,Germany,DE,Bavaria,13525,13525
Tauberbischofsheim,49.6225,9.6628,Germany,DE,Baden-Württemberg,13231,13231
Neustadt,49.58,10.6089,Germany,DE,Bavaria,13121,13121
Pfarrkirchen,48.4419,12.9443,Germany,DE,Bavaria,12677,12677
Ebersberg,48.0833,11.9667,Germany,DE,Bavaria,12239,12239
Perleberg,53.0667,11.8667,Germany,DE,Brandenburg,12141,12141
Bad Fallingbostel,52.8675,9.6967,Germany,DE,Lower Saxony,11852,11852
Hildburghausen,50.4261,10.7289,Germany,DE,Thuringia,11836,11836
Miesbach,47.789,11.8338,Germany,DE,Bavaria,11562,11562
Bad Schwalbach,50.1401,8.0694,Germany,DE,Hesse,11187,11187
Regen,48.97,13.1264,Germany,DE,Bavaria,11001,11001
Eisenberg,50.9667,11.9,Germany,DE,Thuringia,10885,10885
Altötting,48.2264,12.6759,Germany,DE,Bavaria,10119,10119
Bad Ems,50.3381,7.7106,Germany,DE,Rhineland-Palatinate,9681,9681
Lüchow,52.9667,11.15,Germany,DE,Lower Saxony,9420,9420
Miltenberg,49.7039,9.2644,Germany,DE,Bavaria,9355,9355
Wunsiedel,50.0374,11.9994,Germany,DE,Bavaria,9259,9259
Herzberg,51.6831,13.2331,Germany,DE,Brandenburg,9027,9027
Plön,54.1622,10.4214,Germany,DE,Schleswig-Holstein,8914,8914
Schleiz,50.5833,11.8167,Germany,DE,Thuringia,8854,8854
Tirschenreuth,49.8789,12.3369,Germany,DE,Bavaria,8707,8707
Beeskow,52.1667,14.25,Germany,DE,Brandenburg,8042,8042
Daun,50.1986,6.8319,Germany,DE,Rhineland-Palatinate,7974,7974
Simmern,49.9833,7.5167,Germany,DE,Rhineland-Palatinate,7950,7950
Kirchheimbolanden,49.6664,8.0117,Germany,DE,Rhineland-Palatinate,7802,7802
Freyung,48.8075,13.5475,Germany,DE,Bavaria,7166,7166
Birkenfeld,49.65,7.1833,Germany,DE,Rhineland-Palatinate,6984,6984
Altenkirchen,50.6872,7.6456,Germany,DE,Rhineland-Palatinate,6263,6263
Neustadt,49.7306,12.1706,Germany,DE,Bavaria,5727,5727
Seelow,52.5167,14.3831,Germany,DE,Brandenburg,5426,5426
Kusel,49.5347,7.3981,Germany,DE,Rhineland-Palatinate,5405,5405
Cochem,50.1469,7.1667,Germany,DE,Rhineland-Palatinate,5312,5312
